Date,Region,Product,Quantity,Unit Price,Cost,Revenue,Profit
2023-01-01,East,Laptop,14,6210,4244.34,86940,27519.239999999998
2023-01-01,Central,Keyboard,9,13954,9944.41,125586,36086.31
2023-01-02,West,Laptop,9,3502,2318.23,31518,10653.93
2023-01-02,Central,Monitor,5,11166,7392.18,55830,18869.1
2023-01-02,North,Laptop,12,14030,11679.21,168360,28209.48000000001
2023-01-03,North,Smartwatch,12,4509,2989.49,54108,18234.120000000003
2023-01-03,North,Tablet,10,7896,5526.31,78960,23696.899999999994
2023-01-03,North,Headphones,13,6298,4872.08,81874,18536.96
2023-01-04,Central,Keyboard,7,3254,2067.53,22778,8305.289999999999
2023-01-04,East,Keyboard,6,4226,3488.55,25356,4424.699999999999
2023-01-05,East,Keyboard,12,7763,4849.38,93156,34963.44
2023-01-05,North,Camera,4,2930,2246.32,11720,2734.7199999999993
2023-01-05,South,Mouse,14,6942,5193.57,97188,24478.020000000004
2023-01-06,East,Tablet,9,3970,3226.55,35730,6691.049999999998
2023-01-06,Central,Camera,10,11996,9302.7,119960,26932.999999999993
2023-01-06,West,Headphones,10,7137,4746.78,71370,23902.200000000004
2023-01-06,Central,Printer,7,14693,11787.36,102851,20339.479999999996
2023-01-06,East,Tablet,1,7780,4917.29,7780,2862.71
2023-01-06,Central,Monitor,12,2038,1601.71,24456,5235.48
2023-01-07,Central,Camera,2,8397,6039.24,16794,4715.52
2023-01-07,West,Tablet,5,6385,4393.07,31925,9959.650000000001
2023-01-08,Central,Tablet,10,4776,3207.52,47760,15684.8
2023-01-08,North,Monitor,3,8026,5093.46,24078,8797.619999999999
2023-01-08,South,Keyboard,8,9388,6173.75,75104,25714.0
2023-01-08,Central,Mouse,12,14665,10351.05,175980,51767.40000000001
2023-01-10,West,Headphones,5,9248,7285.34,46240,9813.3
2023-01-10,Central,Tablet,4,8069,6550.83,32276,6072.68
2023-01-11,South,Mouse,12,5013,3807.77,60156,14462.76
2023-01-11,Central,Headphones,7,8155,5134.17,57085,21145.809999999998
2023-01-12,East,Headphones,2,13164,9431.99,26328,7464.02
2023-01-12,West,Smartwatch,10,959,673.04,9590,2859.6000000000004
2023-01-12,South,Monitor,7,11287,7407.9,79009,27153.700000000004
2023-01-12,Central,Laptop,4,5787,4125.1,23148,6647.5999999999985
2023-01-13,North,Mouse,13,11285,8740.43,146705,33079.409999999996
2023-01-14,East,Keyboard,8,6375,3940.8,51000,19473.6
2023-01-15,East,Printer,3,8651,5904.77,25953,8238.689999999999
2023-01-15,North,Headphones,2,7144,5826.24,14288,2635.5200000000004
2023-01-15,North,Monitor,14,14765,10986.99,206710,52892.14
2023-01-15,North,Tablet,5,4820,3933.06,24100,4434.700000000001
2023-01-16,East,Phone,2,4336,3464.21,8672,1743.58
2023-01-16,West,Mouse,9,2767,1818.43,24903,8537.13
2023-01-16,East,Tablet,13,6282,4715.49,81666,20364.630000000005
2023-01-16,West,Mouse,3,5731,3611.32,17193,6359.039999999999
2023-01-17,Central,Camera,5,12626,10055.81,63130,12850.950000000003
2023-01-17,Central,Printer,4,10455,7240.69,41820,12857.240000000002
2023-01-18,West,Printer,14,9721,6931.25,136094,39056.5
2023-01-18,Central,Camera,6,11065,7824.11,66390,19445.340000000004
2023-01-19,North,Laptop,4,12724,10720.58,50896,8013.68
2023-01-19,East,Monitor,1,8780,7047.44,8780,1732.5600000000004
2023-01-19,Central,Keyboard,9,4800,3542.01,43200,11321.909999999998
2023-01-19,South,Laptop,11,10293,6221.99,113223,44781.11
2023-01-19,North,Camera,13,8816,7409.51,114608,18284.369999999995
2023-01-20,East,Smartwatch,5,3168,2254.36,15840,4568.199999999999
2023-01-20,West,Laptop,2,11180,9111.0,22360,4138.0
2023-01-21,East,Smartwatch,1,8542,5519.87,8542,3022.13
2023-01-21,West,Smartwatch,13,7548,5367.36,98124,28348.320000000003
2023-01-21,North,Phone,2,4256,2839.39,8512,2833.2200000000003
2023-01-23,West,Phone,4,6606,4584.48,26424,8086.080000000002
2023-01-24,West,Phone,3,7459,5121.07,22377,7013.790000000001
2023-01-25,South,Printer,9,3266,2273.85,29394,8929.35
2023-01-25,West,Monitor,12,13297,10180.29,159564,37400.51999999999
2023-01-25,North,Printer,2,6470,4198.39,12940,4543.219999999999
2023-01-26,Central,Smartwatch,2,13592,8329.65,27184,10524.7
2023-01-26,West,Keyboard,2,12850,8515.62,25700,8668.759999999998
2023-01-26,North,Smartwatch,4,955,622.35,3820,1330.6
2023-01-26,West,Printer,2,6371,4216.56,12742,4308.879999999999
2023-01-27,East,Laptop,12,6891,4623.11,82692,27214.680000000004
2023-01-27,Central,Smartwatch,5,13993,9927.45,69965,20327.749999999996
2023-01-28,North,Monitor,1,1787,1518.89,1787,268.1099999999999
2023-01-28,South,Printer,4,11893,8584.6,47572,13233.599999999999
2023-01-29,South,Mouse,8,9894,8402.15,79152,11934.800000000003
2023-01-29,South,Camera,3,2732,2086.41,8196,1936.7700000000004
2023-01-30,West,Camera,7,7018,5768.48,49126,8746.640000000003
2023-01-30,South,Mouse,8,2684,2075.87,21472,4865.040000000001
2023-01-31,Central,Mouse,2,6932,4449.81,13864,4964.379999999999
2023-01-31,West,Monitor,6,13634,11448.39,81804,13113.660000000003
2023-02-01,South,Printer,11,11359,8521.42,124949,31213.379999999997
2023-02-01,East,Camera,9,12998,10238.73,116982,24833.430000000004
2023-02-01,South,Keyboard,12,6263,4524.0,75156,20868.0
2023-02-02,West,Mouse,14,9349,7020.76,130886,32595.359999999997
2023-02-02,North,Phone,6,14552,10464.75,87312,24523.5
2023-02-02,West,Headphones,9,3567,3016.8,32103,4951.799999999998
2023-02-03,South,Monitor,2,10784,8856.21,21568,3855.5800000000017
2023-02-03,East,Camera,12,11493,7881.99,137916,43332.12
2023-02-03,East,Monitor,13,11678,8655.82,151814,39288.340000000004
2023-02-04,Central,Monitor,2,4111,3254.28,8222,1713.4399999999996
2023-02-05,Central,Printer,11,6623,4606.72,72853,22179.079999999998
2023-02-05,Central,Phone,4,11038,7934.8,44152,12412.8
2023-02-05,Central,Smartwatch,1,7239,5810.0,7239,1429.0
2023-02-05,East,Laptop,14,2844,1832.03,39816,14167.58
2023-02-06,East,Monitor,5,2317,1705.63,11585,3056.8499999999995
2023-02-06,South,Keyboard,12,11387,7476.14,136644,46930.31999999999
2023-02-06,North,Monitor,10,3998,2646.05,39980,13519.499999999998
2023-02-06,South,Laptop,14,7780,5482.76,108920,32161.359999999997
2023-02-06,West,Tablet,10,10858,8184.6,108580,26733.999999999996
2023-02-07,East,Headphones,2,7355,4806.24,14710,5097.52
2023-02-07,Central,Phone,7,14769,9806.8,103383,34735.40000000001
2023-02-08,West,Printer,2,10291,7546.45,20582,5489.1
2023-02-08,South,Phone,1,1001,850.03,1001,150.97000000000003
2023-02-08,West,Headphones,9,12896,9633.15,116064,29365.65
2023-02-08,Central,Phone,11,8461,6974.9,93071,16347.100000000004
2023-02-08,Central,Camera,10,2920,2460.54,29200,4594.6
2023-02-09,Central,Printer,12,8451,7035.1,101412,16990.799999999996
2023-02-09,South,Tablet,6,1322,941.77,7932,2281.38
2023-02-09,South,Keyboard,6,5428,3607.76,32568,10921.439999999999
2023-02-10,Central,Tablet,11,2600,2171.55,28600,4712.949999999998
2023-02-10,Central,Printer,1,5745,4359.99,5745,1385.0100000000002
2023-02-11,West,Monitor,12,14211,9470.59,170532,56884.92
2023-02-11,North,Phone,6,14660,9142.49,87960,33105.06
2023-02-11,West,Mouse,4,7793,5345.47,31172,9790.119999999999
2023-02-13,West,Mouse,8,1158,866.09,9264,2335.2799999999997
2023-02-13,North,Camera,6,3666,2509.7,21996,6937.800000000001
2023-02-13,South,Camera,12,10027,7073.86,120324,35437.68000000001
2023-02-15,South,Smartwatch,10,4161,2802.99,41610,13580.100000000002
2023-02-15,West,Smartwatch,3,4215,3399.35,12645,2446.9500000000003
2023-02-15,West,Phone,11,11780,7287.15,129580,49421.350000000006
2023-02-16,East,Printer,14,11950,7404.05,167300,63643.299999999996
2023-02-16,Central,Camera,12,6944,4434.26,83328,30116.879999999997
2023-02-16,South,Headphones,8,4407,3504.8,35256,7217.5999999999985
2023-02-16,Central,Monitor,12,14570,11602.07,174840,35615.16
2023-02-17,West,Monitor,9,13746,9897.26,123714,34638.659999999996
2023-02-17,East,Phone,13,12226,8358.32,158938,50279.840000000004
2023-02-17,East,Printer,6,11713,9038.97,70278,16044.180000000004
2023-02-17,North,Mouse,14,10249,7928.87,143486,32481.82
2023-02-18,West,Mouse,12,10988,8538.53,131856,29393.639999999992
2023-02-18,North,Phone,6,9347,6860.18,56082,14920.919999999998
2023-02-19,South,Tablet,12,4668,3652.23,56016,12189.24
2023-02-19,North,Keyboard,2,7955,6296.33,15910,3317.34
2023-02-19,East,Headphones,5,14091,9374.18,70455,23584.1
2023-02-20,East,Tablet,14,14878,11389.13,208292,48844.18000000001
2023-02-20,South,Monitor,12,12413,8977.27,148956,41228.759999999995
2023-02-21,North,Tablet,12,10689,8890.61,128268,21580.679999999993
2023-02-21,North,Laptop,9,12454,10481.0,112086,17757.0
2023-02-21,South,Keyboard,6,9880,8273.44,59280,9639.359999999997
2023-02-22,East,Keyboard,10,12427,8122.29,124270,43047.1
2023-02-22,South,Camera,6,11261,7350.79,67566,23461.260000000002
2023-02-22,Central,Tablet,8,2814,2223.7,22512,4722.4000000000015
2023-02-23,West,Keyboard,14,12697,10529.55,177758,30344.30000000001
2023-02-23,East,Monitor,13,2646,1655.3,34398,12879.1
2023-02-24,South,Phone,12,13000,7845.24,156000,61857.12
2023-02-24,West,Laptop,10,6365,4016.69,63650,23483.1
2023-02-24,West,Smartwatch,5,13441,11346.56,67205,10472.200000000003
2023-02-24,North,Phone,12,12515,9713.52,150180,33617.759999999995
2023-02-24,East,Mouse,4,7864,6419.02,31456,5779.919999999998
2023-02-25,North,Phone,7,12328,9697.35,86296,18414.549999999996
2023-02-26,East,Camera,5,2148,1541.06,10740,3034.7000000000003
2023-02-26,West,Printer,10,14195,9134.87,141950,50601.29999999999
2023-02-26,Central,Headphones,13,6891,4472.85,89583,31435.949999999997
2023-02-27,South,Phone,5,11212,8111.77,56060,15501.149999999998
2023-02-28,South,Phone,2,8727,7189.44,17454,3075.120000000001
2023-02-28,South,Phone,7,5776,4294.88,40432,10367.84
2023-03-01,Central,Keyboard,4,9922,7767.03,39688,8619.880000000001
2023-03-01,South,Phone,9,6209,5200.11,55881,9080.010000000002
2023-03-02,Central,Phone,12,4809,3188.86,57708,19441.68
2023-03-02,Central,Monitor,12,14535,11431.22,174420,37245.36000000001
2023-03-02,Central,Phone,8,2736,1747.09,21888,7911.280000000001
2023-03-03,North,Laptop,4,6589,5287.58,26356,5205.68
2023-03-03,North,Camera,2,2675,1691.08,5350,1967.8400000000001
2023-03-03,South,Camera,8,11230,9524.9,89840,13640.800000000003
2023-03-04,Central,Laptop,3,9044,7655.91,27132,4164.27
2023-03-04,East,Phone,6,1357,1044.32,8142,1876.0800000000004
2023-03-04,East,Smartwatch,1,12792,9843.18,12792,2948.8199999999997
2023-03-05,South,Phone,7,5716,3625.93,40012,14630.490000000002
2023-03-05,South,Laptop,1,14743,12066.09,14743,2676.91
2023-03-06,Central,Mouse,2,9659,7302.28,19318,4713.4400000000005
2023-03-07,South,Laptop,4,4174,3535.2,16696,2555.2000000000007
2023-03-07,West,Camera,6,14872,10355.11,89232,27101.339999999997
2023-03-07,North,Smartwatch,13,5450,3447.79,70850,26028.73
2023-03-08,West,Tablet,14,4560,3796.05,63840,10695.299999999997
2023-03-08,West,Camera,12,5058,3062.73,60696,23943.239999999998
2023-03-08,West,Printer,1,6915,5031.51,6915,1883.4899999999998
2023-03-09,West,Monitor,2,1713,1409.2,3426,607.5999999999999
2023-03-09,Central,Monitor,4,7563,5185.34,30252,9510.64
2023-03-10,West,Phone,2,6194,5049.5,12388,2289.0
2023-03-10,North,Printer,10,7922,5132.91,79220,27890.9
2023-03-10,North,Keyboard,1,6849,5495.33,6849,1353.67
2023-03-10,South,Monitor,14,5954,3878.69,83356,29054.34
2023-03-11,North,Headphones,8,6486,3958.4,51888,20220.8
2023-03-11,North,Mouse,13,10621,7564.19,138073,39738.530000000006
2023-03-11,East,Camera,3,1930,1288.0,5790,1926.0
2023-03-11,North,Laptop,13,10124,6509.8,131612,46984.6
2023-03-12,East,Keyboard,1,8739,6377.18,8739,2361.8199999999997
2023-03-12,South,Camera,10,4518,3364.56,45180,11534.400000000001
2023-03-12,Central,Mouse,6,10881,8400.92,65286,14880.48
2023-03-12,East,Tablet,3,2319,1679.59,6957,1918.2300000000002
2023-03-13,Central,Headphones,8,2231,1591.63,17848,5114.959999999999
2023-03-13,East,Camera,4,3461,2621.79,13844,3356.84
2023-03-13,West,Keyboard,3,2700,1708.52,8100,2974.44
2023-03-14,Central,Printer,5,1854,1186.2,9270,3339.0
2023-03-14,Central,Phone,5,14454,10735.71,72270,18591.450000000004
2023-03-14,South,Camera,12,10102,7508.19,121224,31125.720000000005
2023-03-14,East,Printer,1,6856,5274.1,6856,1581.8999999999996
2023-03-14,West,Laptop,10,6725,4300.88,67250,24241.199999999997
2023-03-14,West,Phone,5,6538,4810.98,32690,8635.100000000002
2023-03-14,East,Smartwatch,13,6939,4902.12,90207,26479.440000000002
2023-03-14,West,Tablet,2,4316,3513.45,8632,1605.1000000000004
2023-03-14,West,Keyboard,5,7646,5208.47,38230,12187.649999999998
2023-03-15,East,Tablet,8,12172,8308.59,97376,30907.28
2023-03-15,East,Keyboard,10,6576,4814.7,65760,17613.0
2023-03-15,South,Phone,10,6517,5450.99,65170,10660.100000000002
2023-03-15,South,Keyboard,5,1205,966.68,6025,1191.6000000000004
2023-03-15,North,Keyboard,14,9570,5796.25,133980,52832.5
2023-03-16,West,Tablet,4,14549,10242.99,58196,17224.04
2023-03-17,Central,Printer,3,8816,7103.24,26448,5138.280000000001
2023-03-17,South,Headphones,3,1186,994.38,3558,574.86
2023-03-17,South,Mouse,3,4121,3379.52,12363,2224.44
2023-03-17,West,Phone,3,1789,1413.61,5367,1126.1700000000003
2023-03-18,East,Printer,4,2331,1826.45,9324,2018.1999999999998
2023-03-18,South,Smartwatch,8,4808,4042.22,38464,6126.240000000002
